"Year","Plot","Tag","Morphoname","Taxon","Identification.uncertain","X..cm.","Y..cm.","Tag.offset.x..cm.","Tag.offset.y..cm.","Died.this.census","Died.this.census.final","Length..cm.","Height..cm.","X..Capitulescences","Is.seedling","Number.of.individuals.represented.by.tag","Length.per.individual..cm.","Height.per.individual..cm.","Notes"
2020,15,"1797","Ivesia gordonii","Ivesia gordonii",0,172,96,-10,-10,0,0,12,5,0,0,1,,,
2020,15,"190","Ivesia gordonii","Ivesia gordonii",0,177,177,0,10,0,0,11,6,2,0,1,,,
2020,15,"198","Arenaria congesta","Arenaria congesta",0,107,80,-10,-10,0,0,17.5,7,25,0,1,,,
2020,15,"2220","Heterotheca villosa","Heterotheca villosa",0,101,165,-10,-10,0,0,11.5,3.5,6,0,1,,,
2020,15,"2656","Ivesia gordonii","Ivesia gordonii",0,68,188,-5,-5,1,1,0,0,0,1,1,,,"NA"
2020,16,"1149","Ivesia gordonii","Ivesia gordonii",0,38,33,-5,-5,0,0,6.5,4,0,0,1,,,
2020,16,"1161","Eriogonum umbellatum","Eriogonum umbellatum",0,121,45,-10,-10,0,0,23,5,6,0,1,,,
2020,16,"1162","Ivesia gordonii","Ivesia gordonii",0,110,52,-10,-10,0,0,13,6,4,0,1,,,
2020,16,"1579","Arnica latifolia","Arnica latifolia",0,43,30.5,-10,-10,0,0,10,10.5,1,0,1,,,
2020,16,"1582","Eriogonum umbellatum","Eriogonum umbellatum",0,52,45,-5,-5,0,0,9.5,4,3,0,1,,,
2020,16,"2371","Elymus lanceolatus","Elymus lanceolatus",0,66,63,-10,-10,0,0,28.5,33,5,0,1,,,
2020,16,"275","Ivesia gordonii","Ivesia gordonii",0,158,171,-10,-10,0,0,15.5,10,7,0,1,,,
2020,16,"279","Elymus lanceolatus","Elymus lanceolatus",0,31,94,10,0,0,0,43,35,51,0,1,,,
